ID,url,title,label
0,m.kp.md,"Экс-министр экономики Молдовы - главе МИДЭИ, цель которого сделать из республики не просителя, а донора: Надо избегать долгого нахождения н�",0
1,www.kp.by,Эта песня стала известна многим телезрителям благодаря сериалу Диверсант-2,0
2,fanserials.tv,Банши 4 сезон 2 серия Бремя красоты смотреть онлайн!,0
3,colorbox.spb.ru,Не Беси Меня Картинки,0
4,tula-sport.ru,В Новомосковске сыграют следж-хоккеисты алексинской «Звезды» и сборной Китая | Т...,0
5,beregifiguru.ru,"Салат: корейская морковь + копченая курица + кукуруза + сухарики, мой: калорийность, белки, жиры, углеводы",0
6,ekb.vseinstrumenti.ru,"Угловой пневмогайковерт FUBAG RWC 105 1/2"" 100320 в Екатеринбурге - купить, цены, отзывы, характеристики, фото, инструкция",0
7,mirtabaka.org,Табачный магазин `Мир Табака` | КУРИТЕЛЬНЫЕ ТРУБКИ | Stanwell | Курительная труб,0
8,xlecx.com,league of legends » Page 5 » Porn comics free online,1
9,bus.biletyplus.ua,"08:00 (4766р), Одесса - Ростов-на-Дону 20 сентября 2019, Фаворит ЧП",0
10,otvet-gotov.ru,"ОГЭ, Математика. Функции: Задача №77FB90 | Ответ-Готов",0
11,mail.ru,мировая экономика в схемах и таблицах - 12 млн результатов. Поиск Mail.Ru,0
12,pornmult.info,"кримпай,мать и сын » Страница 5 » смотреть порно мультики, порно комиксы, хентай, онлайн бесплатно",1
13,libking.ru,Мария Шорох - Без права выбора. Академия (СИ) читать онлайн,0
14,www.idealmedia.io,В Днепре нашли пропавшую 16-летнюю девушку,0
15,mail.ru,(1) Мой Мир@Mail.Ru,0
16,zaycev.net,Слава Медяник — Стучат колёса,0
17,kazan.ucheba.ru,Инженерный институт Казанского (Приволжского) федерального университета — Учёба.ру,0
18,mail.ru,каковы основные черты размещения отраслей топливной промышленности на территорий россии - 2 млн результатов. Поиск Mail.Ru,0
19,24eropixel.net,Мужик поставил блондинку раком и отодрал ее тугое очко | порно видео на 24eropixel.net,1
20,royallib.com,"Портер Джейн - Под звездным дождем, скачать бесплатно книгу в формате fb2, doc, rtf, html, txt",0
21,gdespaces.com,Порно которое ты искал / Видео - Spaces.ru / Spcs.me,1
22,ulyanovsk.beeline.ru,Услуга Городской номер - как подключить - Мобильный Билайн - Ульяновск,0
23,xorazm.net,Murodbek Qilichev - Bilmiram » Xorazm.Net,0
24,mail.ru,погода в сочи в сентябре - 33 тыс. результатов. Поиск Mail.Ru,0
25,www.gismeteo.ua,"GISMETEO: погода у Гостомелі на 10 днів — прогноз погоди на 10 днів, Ірпінь, Київська область, Україна",0
26,corel.ru,Службы поддержки,0
27,www.mvideo.ru,Моя учетная запись - Нальчик,0
28,apteka.ru,"кожа,волосы,ногти - результаты поиска",0
29,norma.org.ua,Форма наряда-допуска на производство работ в местах действия опасных или вредных факторов | СНиП 12-03-2001 Безопасность труда в строительстве Часть первая,0
30,mychords.net,"The Retuses - Ласточка, аккорды, текст, mp3, видео",0
31,deal.by,"Школьная форма ""Солнце"" Мод-2 черного цвета, цена 79 руб., купить в Гомеле — Deal.by (ID#103835173)",0
32,www.farpost.ru,Диалог,0
33,www.mvideo.ru,"Купить Встраив. газовая панель Hotpoint-Ariston 641 TQG /HA(BK) в каталоге интернет магазина М.Видео по выгодной цене с доставкой, отзывы, фотографии - Вел",0
34,m.auto3n.ru,AUTO3N,0
35,vtk-moscow.ru,Форма для леденцов и шоколада КУРОЧКА РЯБА купить,0
36,tengrinews.kz,Какой будет погода в ноябре - новости Казахстана | Tengrinews,0
37,mail.ru,"Видео DIO- Don't talk to strangers, ♥•*`✿⊱╮IRINA GERN╭⊰✿`*•♥ — Видео@Mail.Ru",0
38,www.lamnia.com,"5.11 Tactical Job Shirt 1/4 Zip XXL, fire navy | Lamnia",0
39,mmag.ru,OHM CS-18,0
